660;0.9;0.89;0.89;0.88;0.87;0.86;0.85;0.85;0.84;0.82
670;0.9;0.89;0.89;0.88;0.87;0.86;0.85;0.85;0.84;0.82
680;0.9;0.89;0.89;0.89;0.87;0.86;0.85;0.85;0.84;0.82
690;0.9;0.89;0.89;0.89;0.87;0.86;0.85;0.85;0.84;0.82
700;0.9;0.89;0.89;0.89;0.87;0.86;0.85;0.85;0.84;0.83
710;0.9;0.89;0.89;0.89;0.87;0.86;0.85;0.85;0.84;0.83
720;0.9;0.89;0.89;0.89;0.87;0.86;0.85;0.85;0.84;0.83
730;0.9;0.89;0.89;0.89;0.87;0.86;0.85;0.85;0.84;0.83
740;0.9;0.89;0.89;0.89;0.87;0.86;0.85;0.85;0.85;0.83
750;0.9;0.89;0.89;0.89;0.87;0.86;0.85;0.85;0.85;0.83
760;0.9;0.89;0.89;0.89;0.88;0.87;0.86;0.85;0.85;0.83
770;0.9;0.89;0.89;0.89;0.88;0.87;0.86;0.85;0.85;0.83
780;0.9;0.89;0.89;0.89;0.88;0.87;0.86;0.85;0.85;0.84
790;0.9;0.89;0.89;0.89;0.88;0.87;0.86;0.85;0.85;0.84
800;0.9;0.89;0.89;0.89;0.88;0.87;0.86;0.85;0.85;0.84
810;0.9;0.89;0.89;0.89;0.88;0.87;0.87;0.85;0.85;0.84
820;0.9;0.89;0.89;0.89;0.88;0.87;0.87;0.86;0.85;0.84
830;0.9;0.89;0.89;0.89;0.88;0.87;0.87;0.86;0.85;0.85
840;0.9;0.89;0.89;0.89;0.88;0.87;0.87;0.86;0.85;0.85
850;0.9;0.89;0.89;0.89;0.88;0.87;0.87;0.86;0.85;0.85
860;0.9;0.89;0.89;0.89;0.88;0.87;0.87;0.86;0.85;0.85
870;0.9;0.89;0.89;0.89;0.88;0.87;0.87;0.86;0.85;0.85
880;0.9;0.89;0.89;0.89;0.88;0.87;0.87;0.86;0.86;0.85
890;0.9;0.89;0.89;0.89;0.88;0.87;0.87;0.86;0.86;0.85
900;0.9;0.89;0.89;0.89;0.88;0.87;0.87;0.86;0.86;0.85
910;0.9;0.89;0.89;0.89;0.88;0.87;0.87;0.86;0.86;0.85
920;0.9;0.89;0.89;0.89;0.88;0.87;0.87;0.86;0.86;0.85
930;0.9;0.89;0.89;0.89;0.89;0.87;0.87;0.86;0.86;0.86
