PAR TL208
AZP 208 ; 81
NDA 1
COM ***************** Evaluation Date: 28/07/2010 ****************
COM ===================== Daughter Separator =====================
DAU PB208
DDE 1 ;  ; 16 ; 15
Q   4999 ; 1.7
COM ---------------------- Branch Separator ----------------------
EN  0.00000041 ; 0.00000007 ; 587.619 ; 0.018 ; 4
GA  0.00041 ; 0.00004 ; 821.48 ; 0.02 ; 3
EK  0.0000099 ; 0.000001 ; 733.476 ; 0.02 ; 3
EL1 0.0000015 ; 0.00000015 ; 805.619 ; 0.02 ; 3
EL2 0.000000137 ; 0.000000014 ; 806.28 ; 0.02 ; 3
EL3 0.00000001 ; 0.000000001 ; 808.445 ; 0.02 ; 3
EM  0.000000385 ; 0.000000038 ; 818.372 ; 0.02 ; 3
EN  0.000000117 ; 0.000000012 ; 820.99 ; 0.02 ; 3
COM -------------- Level Separator - T1/2 in seconds -------------
LED 4261.871 ; 0.013 ; 7 ;  ;  ; 17
GA  0.00002 ; 0.00001 ; 1647.32 ; 0.02 ; 1
EK  0.000000082 ; 0.000000041 ; 1559.316 ; 0.02 ; 1
EL1 0.000000012 ; 0.000000006 ; 1631.459 ; 0.02 ; 1
EL2 0.00000000097 ; 0.00000000048 ; 1632.12 ; 0.02 ; 1
EL3 0.000000000092 ; 0.000000000046 ; 1634.285 ; 0.02 ; 1
EM  0.0000000031 ; 0.0000000016 ; 1644.212 ; 0.02 ; 1
EN  0.00000000095 ; 0.00000000047 ; 1646.83 ; 0.02 ; 1
COM -------------- Level Separator - T1/2 in seconds -------------
LED 4180.414 ; 0.014 ; 14 ;  ;  ; 13
GA  0.00022 ; 0.00004 ; 705.34 ; 0.02 ; 3
EK  0.0000079 ; 0.0000014 ; 617.336 ; 0.02 ; 3
EL1 0.0000012 ; 0.00000022 ; 689.479 ; 0.02 ; 3
EL2 0.000000112 ; 0.000000021 ; 690.14 ; 0.02 ; 3
EL3 0.0000000081 ; 0.0000000015 ; 692.305 ; 0.02 ; 3
EM  0.00000031 ; 0.00000006 ; 702.232 ; 0.02 ; 3
EN  0.000000094 ; 0.000000017 ; 704.85 ; 0.02 ; 3
GA  0.00204 ; 0.00008 ; 982.7 ; 0.02 ; 2
EK  0.0000312 ; 0.0000013 ; 894.696 ; 0.02 ; 2
EL1 0.00000471 ; 0.0000002 ; 966.839 ; 0.02 ; 2
EL2 0.000000416 ; 0.000000017 ; 967.5 ; 0.02 ; 2
EL3 0.0000000316 ; 0.0000000013 ; 969.665 ; 0.02 ; 2
EM  0.0000012 ; 0.00000005 ; 979.592 ; 0.02 ; 2
EN  0.000000366 ; 0.000000015 ; 982.21 ; 0.02 ; 2
COM -------------- Level Separator - T1/2 in seconds -------------
LED 4125.347 ; 0.012 ; 14 ;  ;  ; 12
GA  0.00041 ; 0.00005 ; 650.27 ; 0.02 ; 3
EK  0.0000182 ; 0.0000022 ; 562.266 ; 0.02 ; 3
EL1 0.00000276 ; 0.00000034 ; 634.409 ; 0.02 ; 3
EL2 0.000000262 ; 0.000000032 ; 635.07 ; 0.02 ; 3
EL3 0.0000000187 ; 0.0000000023 ; 637.235 ; 0.02 ; 3
