PAR TL209
AZP 209 ; 81
NDA 1
COM ***************** Evaluation Date: 30/06/2011 ****************
COM ===================== Daughter Separator =====================
DAU PB209
DDE 1 ;  ; 10 ; 9
Q   3976 ; 8
COM ---------------------- Branch Separator ----------------------
BEM 0.0042 ; 0.00022 ; 10 ; 587 ; 8 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.001 ; 0.0003 ; 9 ; 615 ; 8 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00645 ; 0.00016 ; 8 ; 906 ; 8 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.007 ; 0.0009 ; 7 ; 1071 ; 8 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.0007 ; 0.00015 ; 6 ; 1451 ; 8 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00031 ; 0.00016 ; 5 ; 1515 ; 8 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.0032 ; 0.0011 ; 4 ; 1660 ; 8 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.977 ; 0.0015 ; 3 ; 1827 ; 8 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.001 ;  ; 2 ; 1944 ; 8 ; 0
COM ---------------------- Branch Separator ----------------------
COM ---------------------- Branch Separator ----------------------
COM -------------- Level Separator - T1/2 in seconds -------------
EL3 0.00726 ; 0.00011 ; 104.18 ; 0.08 ; 2
EM  0.00828 ; 0.00012 ; 114.11 ; 0.08 ; 2
EN  0.002461 ; 0.000037 ; 116.73 ; 0.08 ; 2
GA  0.00312 ; 0.00024 ; 582.4 ; 0.2 ; 1
EK  0.000491 ; 0.000038 ; 494.35 ; 0.08 ; 1
EL1 0.000086 ; 0.000007 ; 566.49 ; 0.08 ; 1
EL2 0.0000117 ; 0.0000009 ; 567.15 ; 0.08 ; 1
EL3 0.00000255 ; 0.0000002 ; 569.31 ; 0.08 ; 1
EM  0.0000241 ; 0.0000019 ; 579.24 ; 0.08 ; 1
EN  0.0000074 ; 0.0000006 ; 581.86 ; 0.08 ; 1
GA  0.00015 ; 0.00005 ; 2149 ; 1 ; 0
EK  0.0000018 ; 0.0000006 ; 2061.29 ; 0.06 ; 0
EL1 0.0000003 ; 0.0000001 ; 2133.43 ; 0.06 ; 0
EL2 0.000000044 ; 0.000000015 ; 2134.09 ; 0.06 ; 0
EL3 0.0000000067 ; 0.0000000022 ; 2136.25 ; 0.06 ; 0
EM  0.000000085 ; 0.000000028 ; 2146.18 ; 0.06 ; 0
EN  0.000000026 ; 0.000000009 ; 2148.8 ; 0.06 ; 0
COM -------------- Level Separator - T1/2 in seconds -------------
LED 2032.07 ; 0.06 ; 7 ;  ;  ; 2
GA  0.9662 ; 0.0005 ; 465.128 ; 0.024 ; 1
EK  0.02338 ; 0.00039 ; 377.13 ; 0.08 ; 1
EL1 0.00342 ; 0.000048 ; 449.27 ; 0.08 ; 1
EL2 0.003208 ; 0.000048 ; 449.93 ; 0.08 ; 1
EL3 0.001243 ; 0.000017 ; 452.09 ; 0.08 ; 1
EM  0.001971 ; 0.000029 ; 462.02 ; 0.08 ; 1
EN  0.000591 ; 0.000009 ; 464.64 ; 0.08 ; 1
COM -------------- Level Separator - T1/2 in seconds -------------
LED 1566.94 ; 0.05 ; 7 ;  ;  ; 1
GA  0.99707 ; 0.00005 ; 1566.93 ; 0.05 ; 0
EK  0.002333 ; 0.00004 ; 1478.94 ; 0.05 ; 0
EL1 0.000333 ; 0.000005 ; 1551.08 ; 0.05 ; 0
EL2 0.0000488 ; 0.0000007 ; 1551.74 ; 0.05 ; 0
EL3 0.00001222 ; 0.00000018 ; 1553.9 ; 0.05 ; 0
EM  0.0000923 ; 0.0000013 ; 1563.83 ; 0.05 ; 0
EN  0.00002806 ; 0.00000047 ; 1566.45 ; 0.05 ; 0
