PAR SB124
AZP 124 ; 51
NDA 1
COM ***************** Evaluation Date: 22/12/2008 ****************
COM ===================== Daughter Separator =====================
DAU TE124
DDE 1 ;  ; 27 ; 26
Q   2904.3 ; 1.5
COM ---------------------- Branch Separator ----------------------
BEM 0.000059 ; 0.000005 ; 27 ; 17.9 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00054 ; 0.00009 ; 26 ; 38.6 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.000207 ; 0.000012 ; 25 ; 89.7 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.000012 ; 0.000005 ; 24 ; 96.8 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00653 ; 0.00006 ; 23 ; 129.2 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00106 ; 0.00006 ; 22 ; 193.3 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00571 ; 0.00025 ; 21 ; 202.7 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.08663 ; 0.00027 ; 20 ; 210.6 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.000242 ; 0.000022 ; 19 ; 221.8 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.000098 ; 0.000008 ; 18 ; 285.2 ; 1.5 ; 2
COM ---------------------- Branch Separator ----------------------
BEM 0.000364 ; 0.000022 ; 17 ; 354.6 ; 1.5 ; 2
COM ---------------------- Branch Separator ----------------------
BEM 0.000529 ; 0.000005 ; 16 ; 382.8 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.000422 ; 0.000019 ; 15 ; 392.3 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00332 ; 0.0001 ; 14 ; 421 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00005 ; 0.000026 ; 13 ; 449.3 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
COM ---------------------- Branch Separator ----------------------
BEM 0.000686 ; 0.000014 ; 11 ; 580.9 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.5121 ; 0.0019 ; 10 ; 610.6 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.000967 ; 0.000034 ; 9 ; 679.5 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.0047 ; 0.003 ; 8 ; 721.9 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00688 ; 0.00038 ; 7 ; 812.6 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.04143 ; 0.00018 ; 6 ; 865 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.02295 ; 0.00007 ; 5 ; 946.4 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.000053 ; 0.00001 ; 4 ; 1247.7 ; 1.5 ; 2
COM ---------------------- Branch Separator ----------------------
BEM 0.04815 ; 0.00029 ; 3 ; 1578.8 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.02472 ; 0.00033 ; 2 ; 1655.7 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.2344 ; 0.0028 ; 1 ; 2301.6 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
COM -------------- Level Separator - T1/2 in seconds -------------
EL1 0.00000000135 ; 0.00000000042 ; 1847.29 ; 0.07 ; 1
EL2 0.000000000032 ; 0.00000000001 ; 1847.62 ; 0.07 ; 1
EL3 0.000000000021 ; 0.000000000008 ; 1847.89 ; 0.07 ; 1
EM  0.00000000028 ; 0.00000000009 ; 1851.46 ; 0.07 ; 1
EN  0.000000000061 ; 0.000000000019 ; 1852.14 ; 0.07 ; 1
GA  0.000016 ; 0.0000012 ; 2454.93 ; 0.07 ; 0
EK  0.0000000035 ; 0.00000000027 ; 2423.15 ; 0.07 ; 0
EL1 0.0000000004 ; 0.000000000031 ; 2450.02 ; 0.07 ; 0
EL2 0.0000000000081 ; 0.0000000000006 ; 2450.35 ; 0.07 ; 0
EL3 0.0000000000069 ; 0.0000000000005 ; 2450.62 ; 0.07 ; 0
EM  0.000000000082 ; 0.000000000006 ; 2454.19 ; 0.07 ; 0
EN  0.000000000018 ; 0.0000000000014 ; 2454.87 ; 0.07 ; 0
COM -------------- Level Separator - T1/2 in seconds -------------
LED 2335.26 ; 0.05 ; 7 ;  ;  ; 12
GA  0.000367 ; 0.000009 ; 1086.67 ; 0.05 ; 2
EK  0.0000001677 ; 0.0000000048 ; 1054.87 ; 0.05 ; 2
EL1 0.0000000189 ; 0.0000000005 ; 1081.74 ; 0.05 ; 2
EL2 0.000000000398 ; 0.000000000011 ; 1082.07 ; 0.05 ; 2
EL3 0.000000000608 ; 0.000000000017 ; 1082.34 ; 0.05 ; 2
EM  0.00000000394 ; 0.00000000011 ; 1085.91 ; 0.05 ; 2
EN  0.000000000863 ; 0.000000000025 ; 1086.59 ; 0.05 ; 2
COM -------------- Level Separator - T1/2 in seconds -------------
LED 2323.41 ; 0.03 ; 8 ;  ;  ; 11
GA  0.000946 ; 0.000006 ; 1720.67 ; 0.03 ; 1
EK  0.000000426 ; 0.000000038 ; 1688.868 ; 0.03 ; 1
EL1 0.0000000492 ; 0.0000000047 ; 1715.743 ; 0.03 ; 1
EL2 0.00000000127 ; 0.0000000001 ; 1716.07 ; 0.03 ; 1
EL3 0.00000000078 ; 0.00000000024 ; 1716.341 ; 0.03 ; 1
EM  0.0000000101 ; 0.0000000008 ; 1719.912 ; 0.03 ; 1
EN  0.00000000224 ; 0.00000000017 ; 1720.588 ; 0.03 ; 1
GA  0.000025 ; 0.000006 ; 2323.39 ; 0.03 ; 0
COM -------------- Level Separator - T1/2 in seconds -------------
LED 2293.712 ; 0.004 ; 36 ;  ;  ; 10
GA  0.000142 ; 0.000009 ; 254.42 ; 0.01 ; 6
EK  0.0000018 ; 0.00000012 ; 222.61 ; 0.006 ; 6
EL1 0.000000195 ; 0.000000013 ; 249.485 ; 0.006 ; 6
EL2 0.0000000125 ; 0.0000000008 ; 249.812 ; 0.006 ; 6
EL3 0.0000000166 ; 0.0000000011 ; 250.083 ; 0.006 ; 6
EM  0.0000000443 ; 0.0000000029 ; 253.654 ; 0.006 ; 6
EN  0.0000000096 ; 0.0000000006 ; 254.33 ; 0.006 ; 6
GA  0.000725 ; 0.000009 ; 335.8 ; 0.02 ; 5
EK  0.00000444 ; 0.00000009 ; 303.983 ; 0.016 ; 5
EL1 0.000000486 ; 0.000000009 ; 330.858 ; 0.016 ; 5
EL2 0.00000002574 ; 0.00000000048 ; 331.185 ; 0.016 ; 5
EL3 0.0000000341 ; 0.0000000007 ; 331.456 ; 0.016 ; 5
EM  0.0000001084 ; 0.000000002 ; 335.027 ; 0.016 ; 5
EN  0.0000000236 ; 0.00000000049 ; 335.703 ; 0.016 ; 5
GA  0.01887 ; 0.0001 ; 968.195 ; 0.004 ; 3
EK  0.00001074 ; 0.00000018 ; 936.386 ; 0.005 ; 3
EL1 0.00000121 ; 0.000000022 ; 963.261 ; 0.005 ; 3
EL2 0.0000000281 ; 0.0000000008 ; 963.588 ; 0.005 ; 3
EL3 0.0000000415 ; 0.0000000008 ; 963.859 ; 0.005 ; 3
EM  0.0000002534 ; 0.0000000044 ; 967.43 ; 0.005 ; 3
EN  0.0000000555 ; 0.0000000011 ; 968.106 ; 0.005 ; 3
GA  0.01852 ; 0.00014 ; 1045.125 ; 0.004 ; 2
EK  0.00000915 ; 0.00000018 ; 1013.316 ; 0.005 ; 2
EL1 0.000001032 ; 0.00000002 ; 1040.191 ; 0.005 ; 2
EL2 0.0000000226 ; 0.0000000008 ; 1040.518 ; 0.005 ; 2
EL3 0.0000000339 ; 0.0000000006 ; 1040.789 ; 0.005 ; 2
EM  0.0000002154 ; 0.0000000042 ; 1044.36 ; 0.005 ; 2
EN  0.0000000472 ; 0.0000000009 ; 1045.036 ; 0.005 ; 2
GA  0.4746 ; 0.0019 ; 1690.971 ; 0.004 ; 1
EK  0.0001011 ; 0.0000019 ; 1659.1704 ; 0.0045 ; 1
EL1 0.00001139 ; 0.0000002 ; 1686.045 ; 0.0045 ; 1
EL2 0.0000001647 ; 0.0000000039 ; 1686.3722 ; 0.0045 ; 1
EL3 0.0000002933 ; 0.0000000044 ; 1686.6428 ; 0.0045 ; 1
EM  0.000002345 ; 0.000000039 ; 1690.2144 ; 0.0045 ; 1
EN  0.000000515 ; 0.000000008 ; 1690.8905 ; 0.0045 ; 1
GA  0.000327 ; 0.000041 ; 2293.69 ; 0.01 ; 0
COM -------------- Level Separator - T1/2 in seconds -------------
LED 2224.839 ; 0.025 ; 9 ;  ;  ; 9
GA  0.000179 ; 0.000007 ; 899.32 ; 0.03 ; 3
GA  0.000832 ; 0.000007 ; 976.25 ; 0.03 ; 2
GA  0.000416 ; 0.000019 ; 1622.1 ; 0.03 ; 1
EK  0.000000194 ; 0.000000009 ; 1590.297 ; 0.025 ; 1
EL1 0.0000000222 ; 0.0000000011 ; 1617.172 ; 0.025 ; 1
EL2 0.000000000724 ; 0.000000000035 ; 1617.499 ; 0.025 ; 1
EL3 0.000000000522 ; 0.000000000025 ; 1617.77 ; 0.025 ; 1
EM  0.00000000465 ; 0.00000000022 ; 1621.341 ; 0.025 ; 1
EN  0.00000000102 ; 0.000000000049 ; 1622.017 ; 0.025 ; 1
COM -------------- Level Separator - T1/2 in seconds -------------
LED 2182.39 ; 0.03 ; 9 ;  ;  ; 8
GA  0.000227 ; 0.000005 ; 856.87 ; 0.03 ; 3
GA  0.00412 ; 0.00005 ; 1579.65 ; 0.03 ; 1
EK  0.00000222 ; 0.00000021 ; 1547.848 ; 0.03 ; 1
EL1 0.000000255 ; 0.000000025 ; 1574.723 ; 0.03 ; 1
EL2 0.0000000071 ; 0.0000000007 ; 1575.05 ; 0.03 ; 1
EL3 0.0000000041 ; 0.0000000016 ; 1575.321 ; 0.03 ; 1
EM  0.0000000527 ; 0.0000000046 ; 1578.892 ; 0.03 ; 1
EN  0.0000000116 ; 0.000000001 ; 1579.568 ; 0.03 ; 1
GA  0.0004147 ; 0.0000031 ; 2182.37 ; 0.03 ; 0
COM -------------- Level Separator - T1/2 in seconds -------------
LED 2091.68 ; 0.021 ; 9 ;  ;  ; 7
GA  0.000103 ; 0.000009 ; 766.17 ; 0.02 ; 3
EK  0.000002 ; 0.0000006 ; 734.354 ; 0.021 ; 3
GA  0.00677 ; 0.000037 ; 1488.94 ; 0.02 ; 1
EK  0.00000446 ; 0.0000001 ; 1457.138 ; 0.021 ; 1
EL1 0.000000519 ; 0.000000012 ; 1484.013 ; 0.021 ; 1
EL2 0.00000001246 ; 0.00000000035 ; 1484.34 ; 0.021 ; 1
EL3 0.0000000053 ; 0.0000000005 ; 1484.611 ; 0.021 ; 1
EM  0.0000001063 ; 0.0000000021 ; 1488.182 ; 0.021 ; 1
EN  0.0000000234 ; 0.0000000005 ; 1488.858 ; 0.021 ; 1
COM -------------- Level Separator - T1/2 in seconds -------------
LED 2039.288 ; 0.004 ; 28 ;  ;  ; 6
GA  0.02273 ; 0.00007 ; 713.776 ; 0.004 ; 3
EK  0.00007 ; 0.000009 ; 681.962 ; 0.005 ; 3
EL1 0.0000082 ; 0.0000011 ; 708.837 ; 0.005 ; 3
EL2 0.0000005 ; 0.00000018 ; 709.164 ; 0.005 ; 3
EL3 0.00000027 ; 0.00000018 ; 709.435 ; 0.005 ; 3
EM  0.00000177 ; 0.00000016 ; 713.006 ; 0.005 ; 3
EN  0.000000388 ; 0.000000036 ; 713.682 ; 0.005 ; 3
GA  0.007415 ; 0.000024 ; 790.706 ; 0.007 ; 2
EK  0.00001587 ; 0.00000045 ; 758.892 ; 0.005 ; 2
EL1 0.00000179 ; 0.00000006 ; 785.767 ; 0.005 ; 2
EL2 0.000000147 ; 0.000000006 ; 786.094 ; 0.005 ; 2
EL3 0.0000000998 ; 0.000000003 ; 786.365 ; 0.005 ; 2
EM  0.000000408 ; 0.000000015 ; 789.936 ; 0.005 ; 2
EN  0.0000000888 ; 0.0000000033 ; 790.612 ; 0.005 ; 2
GA  0.01234 ; 0.00008 ; 1436.554 ; 0.007 ; 1
EK  0.0000078 ; 0.0000006 ; 1404.7464 ; 0.0045 ; 1
EL1 0.00000089 ; 0.00000007 ; 1431.621 ; 0.0045 ; 1
EL2 0.0000000295 ; 0.0000000025 ; 1431.9482 ; 0.0045 ; 1
EL3 0.0000000185 ; 0.0000000049 ; 1432.2188 ; 0.0045 ; 1
EM  0.000000186 ; 0.000000014 ; 1435.7904 ; 0.0045 ; 1
EN  0.0000000409 ; 0.0000000029 ; 1436.4665 ; 0.0045 ; 1
GA  0.000631 ; 0.000005 ; 2039.27 ; 0.01 ; 0
EK  0.0000001925 ; 0.0000000035 ; 2007.4742 ; 0.004 ; 0
EL1 0.00000002196 ; 0.00000000036 ; 2034.3488 ; 0.004 ; 0
EL2 0.000000000548 ; 0.000000000009 ; 2034.676 ; 0.004 ; 0
EL3 0.000000000428 ; 0.000000000007 ; 2034.9466 ; 0.004 ; 0
EM  0.00000000455 ; 0.00000000007 ; 2038.5182 ; 0.004 ; 0
EN  0.000000000999 ; 0.000000000016 ; 2039.1943 ; 0.004 ; 0
COM -------------- Level Separator - T1/2 in seconds -------------
LED 1957.915 ; 0.016 ; 15 ;  ;  ; 5
GA  0.001029 ; 0.000021 ; 632.4 ; 0.02 ; 3
GA  0.01363 ; 0.00005 ; 709.33 ; 0.02 ; 2
EK  0.0000476 ; 0.0000007 ; 677.519 ; 0.016 ; 2
EL1 0.00000557 ; 0.00000008 ; 704.394 ; 0.016 ; 2
EL2 0.000000207 ; 0.000000006 ; 704.721 ; 0.016 ; 2
EL3 0.0000000668 ; 0.0000000041 ; 704.992 ; 0.016 ; 2
EM  0.000001163 ; 0.000000018 ; 708.563 ; 0.016 ; 2
EN  0.0000002554 ; 0.0000000039 ; 709.239 ; 0.016 ; 2
GA  0.010412 ; 0.000038 ; 1355.2 ; 0.02 ; 1
EK  0.000009 ; 0.000005 ; 1323.373 ; 0.016 ; 1
EL1 0.0000011 ; 0.0000006 ; 1350.248 ; 0.016 ; 1
EL2 0.000000052 ; 0.000000031 ; 1350.575 ; 0.016 ; 1
EL3 0.000000026 ; 0.000000006 ; 1350.846 ; 0.016 ; 1
EM  0.00000024 ; 0.00000011 ; 1354.417 ; 0.016 ; 1
EN  0.000000052 ; 0.000000025 ; 1355.093 ; 0.016 ; 1
COM -------------- Level Separator - T1/2 in seconds -------------
LED 1656.6 ; 0.3 ; 8 ;  ;  ; 4
GA  0.000053 ; 0.00001 ; 1053.9 ; 0.3 ; 1
EK  0.000000059 ; 0.000000011 ; 1022.06 ; 0.3 ; 1
EL1 0.0000000068 ; 0.0000000013 ; 1048.93 ; 0.3 ; 1
EL2 0.00000000038 ; 0.00000000007 ; 1049.26 ; 0.3 ; 1
EL3 0.000000000255 ; 0.000000000048 ; 1049.53 ; 0.3 ; 1
EM  0.00000000147 ; 0.00000000028 ; 1053.1 ; 0.3 ; 1
EN  0.00000000032 ; 0.00000000006 ; 1053.78 ; 0.3 ; 1
GA   ;  ; 1656.6 ; 0.3 ; 0
COM -------------- Level Separator - T1/2 in seconds -------------
LED 1325.512 ; 0.003 ; 14 ;  ;  ; 3
GA  0.10708 ; 0.00022 ; 722.782 ; 0.003 ; 1
EK  0.0002902 ; 0.0000043 ; 690.9704 ; 0.0037 ; 1
EL1 0.0000329 ; 0.0000005 ; 717.845 ; 0.0037 ; 1
EL2 0.00000285 ; 0.00000005 ; 718.1722 ; 0.0037 ; 1
EL3 0.000001906 ; 0.000000043 ; 718.4428 ; 0.0037 ; 1
EM  0.00000752 ; 0.00000011 ; 722.0144 ; 0.0037 ; 1
EN  0.000001637 ; 0.000000024 ; 722.6905 ; 0.0037 ; 1
GA  0.01587 ; 0.00007 ; 1325.504 ; 0.004 ; 0
EK  0.000011 ; 0.00000017 ; 1293.6982 ; 0.003 ; 0
EL1 0.000001257 ; 0.000000018 ; 1320.5728 ; 0.003 ; 0
EL2 0.0000000525 ; 0.0000000008 ; 1320.9 ; 0.003 ; 0
EL3 0.0000000362 ; 0.0000000007 ; 1321.1706 ; 0.003 ; 0
EM  0.0000002674 ; 0.000000004 ; 1324.7422 ; 0.003 ; 0
EN  0.0000000586 ; 0.0000000009 ; 1325.4183 ; 0.003 ; 0
COM -------------- Level Separator - T1/2 in seconds -------------
LED 1248.582 ; 0.003 ; 7 ;  ;  ; 2
GA  0.07422 ; 0.00015 ; 645.852 ; 0.0019 ; 1
EK  0.0002605 ; 0.0000037 ; 614.0404 ; 0.0037 ; 1
EL1 0.00002939 ; 0.00000045 ; 640.915 ; 0.0037 ; 1
EL2 0.00000314 ; 0.000000045 ; 641.2422 ; 0.0037 ; 1
EL3 0.000002189 ; 0.000000037 ; 641.5128 ; 0.0037 ; 1
EM  0.00000694 ; 0.0000001 ; 645.0844 ; 0.0037 ; 1
EN  0.00000151 ; 0.000000025 ; 645.7605 ; 0.0037 ; 1
COM -------------- Level Separator - T1/2 in seconds -------------
LED 602.7278 ; 0.0021 ; 7 ; 6.2E-12 ; 1.E-13 ; 1
GA  0.97775 ; 0.0002 ; 602.726 ; 0.0023 ; 0
EK  0.00411 ; 0.00006 ; 570.914 ; 0.0021 ; 0
EL1 0.000461 ; 0.000007 ; 597.7886 ; 0.0021 ; 0
EL2 0.000054 ; 0.0000008 ; 598.1158 ; 0.0021 ; 0
EL3 0.000038 ; 0.0000006 ; 598.3864 ; 0.0021 ; 0
EM  0.0001107 ; 0.0000016 ; 601.958 ; 0.0021 ; 0
EN  0.00002398 ; 0.00000043 ; 602.6341 ; 0.0021 ; 0
